year,event_date,gender,discipline_name,event_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance,source_url
2001,2001-01-01,women,swimming,Women's 1500 freestyle,1,gold,athlete,Hannah Stockbauer,GER,GER,16:01.02 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 1500 freestyle,2,silver,athlete,Flavia Rigamonti,SUI,SUI,16:05.99,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 1500 freestyle,3,bronze,athlete,Diana Munz,United States,USA,16:07.05,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 200 I.M.,1,gold,athlete,Maggie Bowen,United States,USA,2:11.93,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 200 I.M.,2,silver,athlete,Yana Klochkova,Ukraine,UKR,2:12.30,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 200 I.M.,3,bronze,athlete,Qi Hui,China,CHN,2:12.46,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 200 backstroke,1,gold,athlete,Diana Mocanu,ROM,ROM,2:09.94,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 200 backstroke,2,silver,athlete,Stanislava Komarova,Russian Federation,RUS,2:10.43,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 200 backstroke,3,bronze,athlete,Joanna Fargus,United Kingdom,GBR,2:11.05,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 200 breaststroke,1,gold,athlete,Ágnes Kovács,Hungary,HUN,2:24.90 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
